Sector,Main Sector,industry
Automotive,,
FinTech,,
Computer software,,
AgriTech,,
Tech startup,,
Digital mortgage,,
Hospitality,,
Information Technology & Services,,
FinTech,,
Furniture,,
Healthcare,,
E-commerce,,
EdTech,,
B2B marketplace,,
Computer software,,
EdTech,,
Food & Beverages,,
Financial Services,,
Healtcare,,
Retail,,
Gaming,,
Location Analytics,,
Media,,
Consumer Electronics,,
EdTech,,
Tobacco,,
Deeptech,,
EdTech,,
EdTech,,
Insuretech,,
Logistics & Supply Chain,,
Financial Services,,
EdTech,,
MLOps platform,,
Logistics & Supply Chain,,
Venture Capital,,
Financial Services,,
Pet care,,
Food & Beverages,,
